Scheme,Throughput_Mbps
MADRL,543.6
MADRL,493.2
MADRL,524.4
MADRL,505.92
MADRL,542.88
MADRL,521.88
MADRL,534.12
MADRL,497.28
MADRL,498.12
MADRL,526.32
MADRL,517.08
MADRL,522.72
MADRL,482.04
MADRL,526.2
MADRL,543.72
MADRL,536.16
MADRL,543.48
MADRL,535.08
MADRL,498.72
MADRL,495.96
MADRL,483.96
MADRL,514.56
MADRL,507.48
MADRL,574.92
MADRL,527.4
MADRL,519.72
MADRL,521.16
MADRL,526.32
MADRL,540.12
MADRL,526.92
MADRL,552.24
MADRL,468.36
MADRL,469.56
MADRL,495.24
MADRL,540.72
MADRL,532.32
MADRL,545.76
MADRL,555.24
MADRL,525.36
MADRL,527.64
MADRL,527.28
MADRL,529.56
MADRL,486.12
MADRL,491.4
MADRL,491.64
MADRL,491.04
MADRL,532.68
MADRL,526.32
MADRL,561.6
MADRL,551.16
MADRL,509.04
MADRL,487.8
MADRL,511.2
MADRL,513.6
MADRL,476.64
MADRL,565.08
MADRL,552.12
MADRL,564.0
MADRL,542.04
MADRL,519.48
MADRL,519.36
MADRL,504.12
MADRL,496.56
MADRL,542.28
MADRL,529.8
MADRL,541.32
MADRL,556.08
MADRL,508.8
MADRL,500.16
MADRL,394.32
MADRL,496.08
MADRL,558.6
MADRL,506.52
MADRL,515.04
MADRL,503.88
MADRL,501.6
MADRL,509.52
MADRL,471.0
MADRL,490.8
MADRL,488.16
MADRL,447.84
MADRL,452.04
MADRL,493.8
MADRL,424.2
MADRL,446.16
MADRL,471.24
MADRL,476.4
MADRL,522.24
MADRL,519.36
MADRL,483.24
MADRL,442.68
MADRL,567.6
MADRL,521.52
MADRL,521.76
MADRL,507.72
MADRL,481.8
MADRL,513.6
MADRL,505.8
MADRL,483.48
MADRL,478.32
MADRL,475.44
MADRL,476.4
MADRL,471.72
MADRL,515.88
MADRL,504.36
MADRL,481.92
MADRL,491.88
MADRL,538.2
MADRL,503.88
MADRL,484.8
MADRL,498.72
MADRL,485.88
MADRL,470.88
MADRL,489.84
MADRL,508.44
MADRL,531.36
MADRL,447.84
MADRL,491.4
MADRL,517.32
MADRL,461.88
MADRL,480.96
MADRL,475.44
MADRL,540.96
MADRL,450.84
MADRL,528.12
MADRL,513.72
MADRL,560.16
MADRL,519.0
MADRL,460.44
MADRL,519.24
MADRL,501.6
MADRL,500.52
MADRL,510.24
MADRL,495.36
MADRL,485.76
MADRL,485.04
MADRL,446.52
MADRL,476.88
MADRL,453.0
MADRL,514.56
MADRL,540.48
MADRL,468.72
MADRL,499.92
MADRL,480.12
MADRL,527.88
MADRL,529.32
MADRL,471.84
MADRL,519.0
MADRL,523.8
MADRL,495.0
MADRL,537.48
MADRL,488.76
MADRL,520.68
MADRL,478.32
MADRL,488.76
MADRL,514.2
MADRL,507.72
MADRL,501.96
MADRL,512.28
MADRL,517.2
MADRL,451.56
MADRL,500.28
MADRL,499.32
MADRL,530.52
MADRL,507.6
MADRL,508.56
MADRL,538.56
MADRL,485.64
MADRL,527.64
MADRL,409.2
MADRL,566.16
MADRL,535.92
MADRL,590.28
MADRL,549.12
MADRL,520.2
MADRL,550.92
MADRL,583.32
MADRL,543.96
MADRL,614.16
MADRL,556.56
MADRL,520.8
MADRL,593.64
MADRL,552.72
MADRL,539.76
MADRL,560.76
MADRL,573.96
MADRL,565.92
MADRL,509.04
MADRL,577.08
MADRL,592.32
MADRL,558.24
MADRL,568.2
MADRL,571.56
MADRL,526.92
MADRL,562.56
MADRL,564.72
MADRL,572.52
MADRL,628.32
MADRL,509.52
MADRL,574.32
MADRL,580.68
MADRL,547.08
MADRL,518.64
MADRL,593.16
MADRL,561.72
MADRL,564.12
MADRL,552.36
MADRL,551.4
MADRL,560.28
MADRL,609.0
MADRL,579.84
MADRL,545.16
MADRL,556.68
MADRL,604.32
MADRL,573.96
MADRL,543.6
MADRL,575.04
MADRL,583.44
MADRL,565.32
MADRL,501.0
MADRL,591.36
MADRL,526.08
MADRL,538.8
MADRL,547.2
MADRL,504.0
MADRL,555.12
MADRL,519.6
MADRL,555.0
MADRL,611.4
MADRL,593.16
MADRL,585.84
MADRL,532.8
MADRL,565.8
MADRL,498.48
MADRL,467.16
MADRL,577.68
MADRL,552.72
MADRL,588.6
MADRL,582.72
MADRL,594.48
MADRL,561.48
MADRL,559.92
MADRL,586.2
MADRL,583.8
MADRL,524.28
MADRL,540.72
MADRL,571.68
MADRL,553.68
MADRL,596.04
MADRL,603.48
MADRL,562.56
MADRL,570.36
MADRL,629.64
MADRL,561.84
MADRL,536.4
MADRL,563.16
MADRL,542.52
MADRL,620.88
MADRL,515.64
MADRL,543.36
MADRL,526.32
MADRL,589.44
MADRL,562.56
MADRL,564.84
MADRL,559.2
MADRL,528.6
MADRL,602.52
MADRL,563.52
MADRL,581.76
MADRL,427.2
MADRL,560.04
MADRL,541.8
MADRL,552.48
MADRL,549.48
MADRL,511.92
MADRL,574.8
MADRL,588.96
MADRL,572.28
MADRL,557.16
MADRL,566.52
MADRL,548.4
MADRL,581.04
MADRL,618.12
MADRL,521.4
MADRL,508.44
MADRL,574.8
MADRL,527.28
MADRL,561.48
MADRL,564.6
MADRL,586.68
MADRL,559.92
MADRL,544.8
MADRL,577.32
MADRL,587.76
MADRL,545.88
MADRL,557.64
MADRL,565.8
MADRL,545.04
MADRL,580.32
MADRL,540.36
MADRL,501.96
MADRL,594.84
MADRL,538.92
MADRL,474.6
MADRL,552.72
MADRL,560.4
MADRL,536.04
MADRL,565.92
MADRL,532.68
MADRL,549.24
MADRL,560.16
MADRL,537.84
MADRL,533.88
MADRL,592.8
MADRL,520.2
MADRL,548.04
MADRL,561.72
MADRL,540.84
MADRL,496.32
MADRL,562.8
MADRL,560.04
MADRL,592.8
MADRL,547.32
MADRL,548.16
MADRL,583.32
MADRL,491.88
MADRL,558.48
MADRL,583.08
MADRL,540.36
MADRL,510.48
MADRL,575.28
MADRL,526.8
MADRL,545.76
MADRL,527.64
MADRL,571.92
MADRL,588.84
MADRL,584.88
MADRL,542.76
MADRL,554.64
MADRL,550.92
MADRL,563.88
MADRL,591.12
MADRL,572.28
MADRL,572.52
MADRL,537.12
MADRL,543.72
MADRL,477.36
MADRL,540.72
MADRL,557.76
MADRL,489.0
MADRL,563.4
MADRL,577.68
MADRL,531.48
MADRL,530.04
MADRL,513.72
MADRL,555.12
MADRL,578.16
MADRL,539.88
MADRL,578.52
MADRL,557.64
MADRL,584.76
MADRL,588.48
MADRL,529.8
MADRL,622.8
MADRL,551.64
MADRL,597.36
MADRL,572.4
MADRL,543.24
MADRL,556.56
MADRL,460.32
MADRL,566.04
MADRL,525.96
MADRL,450.36
MADRL,533.28
MADRL,488.28
MADRL,540.72
MADRL,569.4
MADRL,569.04
MADRL,554.76
MADRL,525.12
MADRL,546.72
MADRL,525.48
MADRL,539.28
MADRL,516.0
MADRL,561.0
MADRL,536.52
MADRL,480.96
MADRL,518.76
MADRL,499.8
MADRL,546.96
MADRL,529.32
MADRL,552.84
MADRL,516.24
MADRL,545.88
MADRL,519.72
MADRL,538.44
MADRL,562.32
MADRL,499.56
MADRL,467.28
MADRL,520.2
MADRL,517.92
MADRL,567.6
MADRL,545.28
MADRL,558.48
MADRL,536.52
MADRL,514.92
MADRL,533.4
MADRL,525.36
MADRL,523.56
MADRL,561.6
MADRL,488.88
MADRL,488.76
MADRL,507.0
MADRL,531.84
MADRL,552.6
MADRL,527.16
MADRL,542.88
