Scheme,Throughput_Mbps
MADRL,249.24
MADRL,276.12
MADRL,264.12
MADRL,239.52
MADRL,225.36
MADRL,284.28
MADRL,258.72
MADRL,240.48
MADRL,212.4
MADRL,286.56
MADRL,255.6
MADRL,249.24
MADRL,270.72
MADRL,258.96
MADRL,264.36
MADRL,285.24
MADRL,252.6
MADRL,245.28
MADRL,266.76
MADRL,231.24
MADRL,224.04
MADRL,189.24
MADRL,241.8
MADRL,233.28
MADRL,253.68
MADRL,232.32
MADRL,244.2
MADRL,246.6
MADRL,257.04
MADRL,267.84
MADRL,264.0
MADRL,215.88
MADRL,244.2
MADRL,245.04
MADRL,249.84
MADRL,216.6
MADRL,250.08
MADRL,268.8
MADRL,231.48
MADRL,233.28
MADRL,252.84
MADRL,251.16
MADRL,229.2
MADRL,292.08
MADRL,258.84
MADRL,256.68
MADRL,256.8
MADRL,242.28
MADRL,262.56
MADRL,265.44
MADRL,253.44
MADRL,232.44
MADRL,257.28
MADRL,263.4
MADRL,284.4
MADRL,260.52
MADRL,244.56
MADRL,229.44
MADRL,214.92
MADRL,247.8
MADRL,279.96
MADRL,241.92
MADRL,266.4
MADRL,193.44
MADRL,239.04
MADRL,226.8
MADRL,258.24
MADRL,270.36
MADRL,256.32
MADRL,173.88
MADRL,275.64
MADRL,275.52
MADRL,206.28
MADRL,270.72
MADRL,242.64
MADRL,246.12
MADRL,217.56
MADRL,224.76
MADRL,270.48
MADRL,271.92
MADRL,296.28
MADRL,258.12
MADRL,258.6
MADRL,229.44
MADRL,260.88
MADRL,253.44
MADRL,224.16
MADRL,232.44
MADRL,260.28
MADRL,233.88
MADRL,281.52
MADRL,264.12
MADRL,294.96
MADRL,283.44
MADRL,254.88
MADRL,251.64
MADRL,265.68
MADRL,244.32
MADRL,253.92
MADRL,234.72
MADRL,248.52
MADRL,253.68
MADRL,210.0
MADRL,268.32
MADRL,240.6
MADRL,215.4
MADRL,225.12
MADRL,260.76
MADRL,241.2
MADRL,206.64
MADRL,224.88
MADRL,233.16
MADRL,235.68
MADRL,224.88
MADRL,245.28
MADRL,263.16
MADRL,240.84
MADRL,249.12
